"FullName","Length"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\MCC\Content\Movies\SPARK.bk2","210015360"
"C:\Program Files (x86)\Steam\steamapps\common\The Witcher 3\SOUNDTRACK\The_Witcher_3_Wild_Hunt_-_Official_Soundtrack_(steam_edition)_mp3.zip","210557522"
"C:\Program Files (x86)\Steam\steamapps\common\Batman Arkham Asylum GOTY\BmGame\Movies\705_BreakingNews.bik","210563868"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\halo2\h2_maps_win64_dx11\sounds_de.dat","211256832"
"C:\Program Files (x86)\Steam\steamapps\common\Counter-Strike Global Offensive\game\csgo\maps\de_vertigo.vpk","211504688"
"C:\Program Files (x86)\Steam\steamapps\common\BioShock Remastered\ContentBaked\pc\Maps\6-Resi.bsm","211511291"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\halo4\maps\ca_blood_cavern.map","211566592"
"C:\Program Files (x86)\Steam\steamapps\common\LEGO Star Wars - The Skywalker Saga\LP_MUMBLE.DAT","211729155"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\halo4\maps\ca_highrise.map","211795968"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\haloreach\maps\cex_hangemhigh.map","211877888"
"C:\Program Files (x86)\Steam\steamapps\common\Halo Infinite\subgames\CampaignS1\Sound\win\SFX\sb_120_mus_ow_aagun.pck","212154733"
"C:\Program Files (x86)\Steam\steamapps\common\Halo Infinite\subgames\CampaignS1\Sound\win\SFX\sb_120_mus_dung_forerunner_austin.pck","212666994"
"C:\Program Files (x86)\Steam\steamapps\common\Batman Arkham Knight\BmGame\CookedPCConsole\BmGame.upk","213117537"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\haloreach\maps\trainingpreserve.map","214011904"
"C:\Program Files (x86)\Steam\steamapps\common\BioShock Remastered\ContentBaked\pc\Maps\1-Medical.bsm","214215084"
"C:\Program Files (x86)\Steam\steamapps\common\Splitgate\PortalWars\Content\Paks\pakchunk64_s2-WindowsNoEditor.ucas","214330736"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\haloreach\maps\cex_prisoner.map","214339584"
"C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\Skyrim - Textures8.bsa","214496000"
"C:\Program Files (x86)\Steam\steamapps\common\Sid Meier's Civilization V\Resource\Common\LeaderModels.fpk","214830992"
"C:\Program Files (x86)\Steam\steamapps\common\PUBG\TslGame\Content\Paks\pakchunk0-WindowsNoEditor_animations.pak","215120145"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\haloreach\maps\ff_unearthed.map","215355392"
"C:\Program Files (x86)\Steam\steamapps\common\Destroy All Humans!\DH\Content\Movies\MM01\MM01_Backstory.mp4","215626766"
"C:\Program Files (x86)\Steam\steamapps\common\Splitgate\PortalWars\Content\Paks\pakchunk61_s1-WindowsNoEditor.ucas","216016960"
"C:\Program Files (x86)\Steam\steamapps\common\BioShock Infinite\DLC\DLCB\Audio\Packed\Windows\Packs\French(France)\CombinedStreaming_DLCB_LOC.pck","217207600"
"C:\Program Files (x86)\Steam\steamapps\common\Hollow Knight\hollow_knight_Data\sharedassets34.assets.resS","217413792"
"C:\Program Files (x86)\Steam\steamapps\common\Batman Arkham Knight\BmGame\CookedPCConsole\SFX\SFX_6.wad","217427968"
"C:\Program Files (x86)\Steam\steamapps\common\BioShock Remastered\ContentBaked\pc\BinkMovies\DC_1-Medical.bik","217468516"
"C:\Program Files (x86)\Steam\steamapps\common\BioShock Infinite\DLC\DLCB\Audio\Packed\Windows\Packs\English(US)\CombinedStreaming_DLCB_LOC.pck","217952384"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\halo4\maps\ca_tower.map","218185728"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\halo4\maps\ca_redoubt.map","218361856"
"C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\DLCRobot - Textures.ba2","218569835"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\haloreach\maps\cex_ff_halo.map","218841088"
"C:\Program Files (x86)\Steam\steamapps\common\Cuphead\Cuphead_Data\StreamingAssets\AssetBundles\atlas_devillevelp3","218959588"
"C:\Program Files (x86)\Steam\steamapps\common\Grand Theft Auto V\x64\audio\sfx\SS_NP.rpf","219041792"
"C:\Program Files (x86)\Steam\steamapps\common\Halo Infinite\subgames\CampaignS1\Sound\win\SFX\sb_120_mus_ow_explore.pck","219047790"
"C:\Program Files (x86)\Steam\steamapps\common\TheOuterWorlds\Indiana\Content\Movies\Intro_PreCharacterCreation_compressed.mp4","219209067"
"C:\Program Files (x86)\Steam\steamapps\common\BioShock Infinite\DLC\DLCB\Audio\Packed\Windows\Packs\Spanish(Spain)\CombinedStreaming_DLCB_LOC.pck","219330107"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\halo2\terminals\Halo_Groundhog_EP06.bk2","219461876"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\halo3\maps\sidewinder.map","219598848"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\MCC\Content\Movies\RECLAIMER.bk2","219782164"
"C:\Program Files (x86)\Steam\steamapps\common\BioShock Infinite\DLC\DLCB\Audio\Packed\Windows\Packs\Italian\CombinedStreaming_DLCB_LOC.pck","220138492"
"C:\Program Files (x86)\Steam\steamapps\common\ELDEN RING\Game\movie\13000050.bk2","220385628"
"C:\Program Files (x86)\Steam\steamapps\common\Borderlands 2\DLC\Aster\Lic\Movies\Aster_Intro.bik","220578564"
"C:\Program Files (x86)\Steam\steamapps\common\BioShock Infinite\DLC\DLCB\Audio\Packed\Windows\Packs\German\CombinedStreaming_DLCB_LOC.pck","220892457"
"C:\Program Files (x86)\Steam\steamapps\common\Borderlands 2\DLC\Aster\Lic\Textures\CharTextures_aster.tfc","221053282"
"C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Video\Endgame_FEMALE_A.bk2","221085404"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\MCC\Content\Movies\RECON.bk2","221185028"
"C:\Program Files (x86)\Steam\steamapps\common\PUBG\TslGame\Content\Paks\pakchunk5100-WindowsNoEditor_map_base.pak","221230660"
"C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Video\Endgame_MALE_A.bk2","221373680"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\halo4\maps\ca_dropoff.map","221577216"
"C:\Program Files (x86)\Steam\steamapps\common\Tomb Raider\movies\Sc3Snippets.bik","221762860"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\MCC\Content\Movies\NOBLE.bk2","221815144"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\halo4\bink\041_librarian_story_60.bik","221892868"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\MCC\Content\Movies\RAVEN.bk2","221924932"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\MCC\Content\Movies\ELITE.bk2","221931508"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\MCC\Content\Movies\MYTHIC.bk2","222043440"
"C:\Program Files (x86)\Steam\steamapps\common\BioShock Remastered\ContentBaked\pc\Maps\1-Welcome.bsm","222066544"
"C:\Program Files (x86)\Steam\steamapps\common\Borderlands 2\DLC\Orchid\Compat\Textures\Textures_orchid.tfc","222804217"
